
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
AsusAppService.exe            4760 Services                   0      1,048 K Unknown         N/A                                                     0:00:01 N/A                                                                     
AsusSoftwareManager.exe       2064 Services                   0      8,264 K Unknown         N/A                                                     0:00:00 N/A                                                                     
ArmouryCrateControlInterf     5128 Services                   0        152 K Unknown         N/A                                                     0:00:00 N/A                                                                     
AsusSwitch.exe                5136 Services                   0      1,044 K Unknown         N/A                                                     0:00:00 N/A                                                                     
AsusSystemAnalysis.exe        5148 Services                   0      7,664 K Unknown         N/A                                                     0:00:01 N/A                                                                     
AsusSystemDiagnosis.exe       5160 Services                   0        132 K Unknown         N/A                                                     0:00:00 N/A                                                                     
IntelCpHDCPSvc.exe            5176 Services                   0      1,344 K Unknown         N/A                                                     0:00:00 N/A                                                                     
OfficeClickToRun.exe          5184 Services                   0     10,636 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   5192 Services                   0      9,876 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5208 Services                   0     23,752 K Unknown         N/A                                                     0:00:08 N/A                                                                     
svchost.exe                   5240 Services                   0     31,112 K Unknown         N/A                                                     0:00:33 N/A                                                                     
DtsApo4Service.exe            5252 Services                   0      1,452 K Unknown         N/A                                                     0:00:01 N/A                                                                     
esif_uf.exe                   5320 Services                   0      1,332 K Unknown         N/A                                                     0:00:00 N/A                                                                     
OneApp.IGCC.WinService.ex     5408 Services                   0      4,504 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5424 Services                   0      1,980 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5496 Services                   0      1,888 K Unknown         N/A                                                     0:00:00 N/A                                                                     
MpDefenderCoreService.exe     5580 Services                   0     11,040 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5668 Services                   0      1,176 K Unknown         N/A                                                     0:00:00 N/A                                                                     
RtkAudUService64.exe          5692 Services                   0      3,652 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                   5720 Services                   0      2,040 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5792 Services                   0        392 K Unknown         N/A                                                     0:00:00 N/A                                                                     
RstMwService.exe              5800 Services                   0         40 K Unknown         N/A                                                     0:00:00 N/A                                                                     
MsMpEng.exe                   5844 Services                   0   1,97,868 K Unknown         N/A                                                     0:03:54 N/A                                                                     
WMIRegistrationService.ex     5856 Services                   0         36 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5908 Services                   0      7,832 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   5988 Services                   0      1,260 K Unknown         N/A                                                     0:00:00 N/A                                                                     
IntelCpHeciSvc.exe            6148 Services                   0      1,156 K Unknown         N/A                                                     0:00:00 N/A                                                                     
jhi_service.exe               6292 Services                   0         76 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   6488 Services                   0      4,136 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   6948 Services                   0      2,204 K Unknown         N/A                                                     0:00:00 N/A                                                                     
